2931,3
2932,3
2933,3
2934,1
2935,3
2936,2
2937,3
2938,3
2939,4
2940,3
2941,2
2942,2
2943,4
2944,4
2945,4
2946,4
2947,3
2948,3
2949,4
2950,3
2951,4
2952,3
2953,3
2954,3
2955,2
2956,1
2957,3
2958,3
2959,3
2960,3
2961,3
2962,3
2963,1
2964,2
2965,3
2966,2
2967,3
2968,2
2969,3
2970,4
2971,3
2972,3
2973,2
2974,1
2975,4
2976,3
2977,2
2978,1
2979,1
2980,1
2981,4
2982,2
2983,2
2984,4
2985,3
2986,4
2987,3
2988,1
2989,3
2990,2
2991,3
2992,3
2993,2
2994,4
2995,4
2996,4
2997,1
2998,4
2999,2
3000,2
3001,1
3002,1
3003,3
3004,3
3005,4
3006,3
3007,1
3008,3
3009,3
3010,3
3011,3
3012,1
3013,3
3014,3
3015,2
3016,3
3017,1
3018,3
3019,2
3020,3
3021,3
3022,3
3023,3
3024,2
3025,2
3026,3
3027,3
3028,1
3029,1
3030,1
3031,3
3032,1
3033,1
3034,1
3035,2
3036,3
3037,4
3038,3
3039,3
3040,3
3041,1
3042,3
3043,1
3044,2
3045,3
3046,1
3047,1
3048,1
3049,3
3050,1
3051,4
3052,1
3053,3
3054,3
3055,4
3056,3
3057,4
3058,4
3059,2
3060,1
3061,1
3062,1
3063,2
3064,1
3065,4
3066,4
3067,3
3068,3
3069,1
3070,3
3071,4
3072,2
3073,1
3074,3
3075,1
3076,3
3077,4
3078,4
3079,3
3080,4
3081,3
3082,3
3083,3
3084,3
3085,3
3086,4
3087,3
3088,3
3089,4
3090,1
3091,3
3092,3
3093,4
3094,1
3095,3
3096,3
3097,3
3098,3
3099,1
3100,1
3101,1
3102,1
3103,1
3104,4
3105,2
3106,3
3107,3
3108,4
3109,1
3110,1
3111,2
3112,1
3113,3
3114,4
3115,3
3116,3
3117,3
3118,1
3119,4
3120,4
3121,3
3122,4
3123,3
3124,4
3125,1
3126,1
3127,1
3128,2
3129,4
3130,4
3131,4
3132,1
3133,1
3134,4
3135,4
3136,3
3137,3
3138,4
3139,1
3140,3
3141,3
3142,1
3143,4
3144,1
3145,4
3146,3
3147,3
3148,4
3149,4
3150,4
3151,3
3152,4
3153,1
3154,3
3155,3
3156,3
3157,3
3158,1
3159,4
3160,3
3161,3
3162,1
3163,4
3164,2
3165,3
3166,1
3167,4
3168,3
3169,4
3170,4
3171,1
3172,1
3173,2
3174,4
3175,3
3176,2
3177,1
3178,1
3179,1
3180,4
3181,3
3182,4
3183,2
3184,1
3185,1
3186,4
3187,3
3188,2
3189,3
3190,2
3191,2
3192,1
3193,3
3194,3
3195,4
3196,3
3197,3
3198,2
3199,3
3200,4
3201,3
3202,3
3203,3
3204,3
3205,4
3206,2
3207,3
3208,3
3209,1
3210,1
3211,3
3212,3
3213,3
3214,2
3215,3
3216,3
3217,2
3218,3
3219,3
3220,4
3221,4
3222,3
3223,4
3224,4
3225,4
3226,3
3227,3
3228,3
3229,2
3230,3
3231,1
3232,4
3233,2
3234,2
3235,4
3236,1
3237,2
3238,1
3239,4
3240,4
3241,4
3242,4
3243,3
3244,1
3245,4
3246,3
3247,4
3248,3
3249,4
3250,4
3251,1
3252,3
3253,4
3254,4
3255,2
3256,3
3257,4
3258,3
3259,1
3260,1
3261,2
3262,3
3263,3
3264,3
3265,3
3266,3
3267,3
3268,3
3269,1
3270,1
3271,4
3272,3
3273,4
3274,3
3275,3
3276,1
3277,3
3278,4
3279,3
3280,3
3281,1
3282,4
3283,4
3284,1
3285,3
3286,3
3287,3
3288,3
3289,3
3290,3
3291,3
3292,2
3293,4
3294,3
3295,2
3296,3
3297,3
3298,1
3299,3
3300,3
3301,4
3302,4
3303,1
3304,3
3305,4
3306,2
3307,1
3308,1
3309,4
3310,4
3311,3
3312,2
3313,3
3314,4
3315,4
3316,3
3317,4
3318,4
3319,2
3320,1
3321,2
3322,4
3323,1
3324,4
3325,1
3326,1
3327,2
3328,2
3329,1
3330,3
3331,4
3332,3
3333,4
3334,3
3335,3
3336,2
3337,1
3338,4
3339,4
3340,3
3341,1
3342,1
3343,1
3344,3
3345,1
3346,1
3347,3
3348,3
3349,3
3350,3
3351,3
3352,3
3353,4
3354,4
3355,2
3356,1
3357,3
3358,3
3359,3
3360,1
3361,1
3362,1
3363,3
3364,2
3365,4
3366,3
3367,1
3368,3
3369,2
3370,2
3371,4
3372,3
3373,2
3374,2
3375,4
3376,3
3377,3
3378,1
3379,4
3380,3
3381,3
3382,4
3383,2
3384,4
3385,2
3386,3
3387,1
3388,4
3389,2
3390,4
3391,3
3392,4
3393,2
3394,1
3395,1
3396,4
3397,3
3398,1
3399,2
3400,2
3401,2
3402,2
3403,4
3404,1
3405,3
3406,4
3407,3
3408,3
3409,1
3410,4
3411,3
3412,3
3413,3
3414,1
3415,1
3416,1
3417,4
3418,2
3419,3
3420,4
