2931,4,0,"[0.04807278886437416, 0.029421644285321236, 0.1112261712551117, 0.8112794160842896]"
2932,3,1,"[0.0019232938066124916, 0.004241542425006628, 0.9206375479698181, 0.07319752871990204]"
2933,3,0,"[0.014421915635466576, 0.021311208605766296, 0.941342830657959, 0.022924114018678665]"
2934,1,1,"[0.9847238063812256, 0.011737871915102005, 0.0014013020554557443, 0.0021370495669543743]"
2935,4,0,"[0.20636634528636932, 0.040160953998565674, 0.2946678102016449, 0.4588048458099365]"
2936,3,0,"[0.008268414065241814, 0.017988761886954308, 0.9370454549789429, 0.0366973951458931]"
2937,3,1,"[0.004499068018049002, 0.056230027228593826, 0.9295927882194519, 0.009678203612565994]"
2938,3,1,"[0.0006365172448568046, 0.0045515550300478935, 0.9922794103622437, 0.002532541286200285]"
2939,3,0,"[0.0001907415862660855, 0.001572436187416315, 0.9974079728126526, 0.0008288895478472114]"
2940,3,0,"[0.07278285175561905, 0.10167110711336136, 0.4697948098182678, 0.35575127601623535]"
2941,1,0,"[0.6130861639976501, 0.2429567575454712, 0.0941937118768692, 0.049763329327106476]"
2942,3,0,"[0.020912092179059982, 0.0947435051202774, 0.8515587449073792, 0.032785676419734955]"
2943,3,0,"[0.0018839408876374364, 0.013795929960906506, 0.9811548590660095, 0.0031652844045311213]"
2944,3,0,"[0.008644496090710163, 0.010663687251508236, 0.5505104064941406, 0.4301813542842865]"
2945,1,1,"[0.6591528058052063, 0.12518920004367828, 0.053721316158771515, 0.1619366705417633]"
2946,3,0,"[0.01174153108149767, 0.008764950558543205, 0.713358998298645, 0.2661345303058624]"
2947,3,1,"[0.0195926483720541, 0.013687976635992527, 0.9479658007621765, 0.01875356025993824]"
2948,3,1,"[0.0031218877993524075, 0.004314372316002846, 0.9858128428459167, 0.006750931032001972]"
2949,3,0,"[0.0008023057016544044, 0.006514052394777536, 0.9811993837356567, 0.011484277434647083]"
2950,3,0,"[0.006294229533523321, 0.10786113888025284, 0.8622742295265198, 0.023570466786623]"
2951,3,0,"[0.0042641982436180115, 0.010284271091222763, 0.7713042497634888, 0.21414721012115479]"
2952,3,0,"[0.0017533977515995502, 0.01791444607079029, 0.9720795154571533, 0.008252646774053574]"
2953,3,0,"[0.018747737631201744, 0.02241564728319645, 0.9297241568565369, 0.029112471267580986]"
2954,2,0,"[0.12095300853252411, 0.4579174816608429, 0.41571083664894104, 0.005418680142611265]"
2955,3,0,"[0.10524330288171768, 0.06623862683773041, 0.8064208030700684, 0.02209726721048355]"
2956,1,1,"[0.9780040979385376, 0.013235535472631454, 0.003207246772944927, 0.005553217604756355]"
2957,3,1,"[0.004949476104229689, 0.0023841019719839096, 0.8990259766578674, 0.09364054352045059]"
2958,3,0,"[0.002021398628130555, 0.012955204583704472, 0.9599757790565491, 0.02504759095609188]"
2959,3,0,"[0.0058084880001842976, 0.010739644058048725, 0.9300985336303711, 0.053353384137153625]"
2960,3,1,"[0.0003013868408743292, 0.002788676880300045, 0.9957668781280518, 0.0011431131279096007]"
2961,4,1,"[0.033296432346105576, 0.004734870512038469, 0.006009089760482311, 0.9559595584869385]"
2962,3,1,"[0.04954968020319939, 0.18235734105110168, 0.6409941911697388, 0.12709882855415344]"
2963,1,0,"[0.7566770315170288, 0.03611244633793831, 0.11256422847509384, 0.09464630484580994]"
2964,3,0,"[0.0019480549963191152, 0.07926557213068008, 0.9151752591133118, 0.0036111632362008095]"
2965,3,1,"[0.00043946460937149823, 0.002826276933774352, 0.9771932363510132, 0.01954093761742115]"
2966,2,0,"[0.4781910181045532, 0.5032603740692139, 0.016947777941823006, 0.0016008313978090882]"
2967,4,1,"[0.0037347227334976196, 0.0013573565520346165, 0.015844326466321945, 0.9790635704994202]"
