2931,4,"[0.006020819302648306, 0.0007920468342490494, 0.0006292403559200466, 0.9925578832626343]"
2932,3,"[7.06929640728049e-05, 0.00011952310160268098, 0.9974052309989929, 0.00240446743555367]"
2933,3,"[0.0002227355435024947, 0.00026648546918295324, 0.9952273368835449, 0.004283522721379995]"
2934,1,"[0.999106228351593, 0.0001178762613562867, 5.495793811860494e-05, 0.0007209315663203597]"
2935,1,"[0.5924239158630371, 0.019418293610215187, 0.17840705811977386, 0.20975074172019958]"
2936,3,"[0.09314341098070145, 0.13365817070007324, 0.771741509437561, 0.0014569408958777785]"
2937,3,"[0.0012809711042791605, 0.00962443184107542, 0.9888331890106201, 0.00026139881811104715]"
2938,3,"[4.86008393636439e-05, 1.8579883544589393e-05, 0.9996088147163391, 0.00032402179203927517]"
2939,3,"[0.0002990968350786716, 0.0001654577354202047, 0.9566641449928284, 0.042871251702308655]"
2940,3,"[0.06257782131433487, 0.0050513409078121185, 0.7911931276321411, 0.1411776840686798]"
2941,3,"[0.013172327540814877, 0.033947087824344635, 0.8847270607948303, 0.068153515458107]"
2942,3,"[0.0001429356780136004, 8.287983655463904e-05, 0.9987297654151917, 0.0010444102808833122]"
2943,3,"[7.883369107730687e-05, 0.0010521869407966733, 0.9984958171844482, 0.00037315880763344467]"
2944,3,"[0.001902195275761187, 0.0003397404798306525, 0.5434324741363525, 0.4543256163597107]"
2945,4,"[0.029645869508385658, 0.0001254686649190262, 0.0005784071399830282, 0.9696503281593323]"
2946,3,"[0.0034941411577165127, 0.0021071673836559057, 0.7394572496414185, 0.2549414038658142]"
2947,3,"[0.0009212570148520172, 0.0003441986918915063, 0.9899007678031921, 0.008833787404000759]"
2948,3,"[0.00013336374831851572, 2.48064079642063e-05, 0.9997861981391907, 5.566372419707477e-05]"
2949,3,"[2.9211627406766638e-05, 2.0900692106806673e-05, 0.9978146553039551, 0.0021351424511522055]"
2950,3,"[0.0001540782250231132, 0.0021032546646893024, 0.9969902038574219, 0.0007525040418840945]"
2951,3,"[0.00015281404193956405, 8.093207725323737e-05, 0.9877893924713135, 0.01197686418890953]"
2952,3,"[0.001161833992227912, 6.115146970842034e-05, 0.998071014881134, 0.0007060164934955537]"
2953,3,"[0.01990436390042305, 0.00027195917209610343, 0.7308068871498108, 0.24901683628559113]"
2954,1,"[0.7968729138374329, 0.035221364349126816, 0.16454677283763885, 0.0033588737715035677]"
2955,3,"[0.08045513182878494, 0.15516161918640137, 0.644890308380127, 0.11949293315410614]"
2956,1,"[0.9970321655273438, 0.0023811247665435076, 0.00014523757272399962, 0.00044140598038211465]"
2957,3,"[0.0001237567630596459, 6.053482138668187e-05, 0.9993650317192078, 0.00045072362991049886]"
2958,3,"[0.0004713275993708521, 5.432014222606085e-05, 0.9982156753540039, 0.0012586867669597268]"
2959,3,"[0.0027115680277347565, 0.0003370832419022918, 0.995266318321228, 0.0016851399559527636]"
2960,3,"[3.169539922964759e-05, 0.0001362695766147226, 0.9997488856315613, 8.30933204269968e-05]"
2961,4,"[0.007365844678133726, 5.440146924229339e-05, 0.001310396590270102, 0.9912693500518799]"
2962,3,"[6.27847111900337e-05, 8.384617103729397e-05, 0.9997515082359314, 0.00010181521793128923]"
2963,1,"[0.940836489200592, 0.03142162784934044, 0.01471598632633686, 0.01302594505250454]"
2964,3,"[0.029415324330329895, 0.00036541250301524997, 0.9692113995552063, 0.0010078962659463286]"
2965,3,"[7.214365905383602e-05, 1.4334628758660983e-05, 0.9963129162788391, 0.0036006199661642313]"
2966,1,"[0.982439398765564, 0.015424025245010853, 0.0012913324171677232, 0.0008452932815998793]"
2967,4,"[8.007323776837438e-05, 1.1381500371498987e-05, 0.0003768605529330671, 0.999531626701355]"
2968,3,"[0.0007257628021761775, 0.0030172422993928194, 0.9353888034820557, 0.06086815893650055]"
2969,3,"[0.1064542680978775, 0.28483688831329346, 0.5960401892662048, 0.01266869530081749]"
2970,1,"[0.7725969552993774, 0.0004816257569473237, 0.004037024453282356, 0.2228844165802002]"
2971,3,"[0.00042143362225033343, 8.057984086917713e-05, 0.9810360670089722, 0.018461816012859344]"
2972,3,"[0.00013186674914322793, 3.4774198866216466e-05, 0.9993394017219543, 0.0004939615610055625]"
2973,3,"[0.019836772233247757, 0.04891657829284668, 0.927927553653717, 0.0033191577531397343]"
2974,4,"[0.004904862958937883, 6.463878526119515e-05, 0.00011474408529466018, 0.9949157238006592]"
2975,4,"[0.028858495876193047, 0.00023234654508996755, 0.08694544434547424, 0.8839637041091919]"
2976,4,"[5.9512916777748615e-05, 1.553949186927639e-05, 0.00013620694517157972, 0.9997888207435608]"
2977,2,"[0.008861762471497059, 0.9908432960510254, 0.0001532015739940107, 0.00014173032832331955]"
2978,1,"[0.9981381893157959, 0.001300040283240378, 0.00014898632070980966, 0.0004127291904296726]"
2979,4,"[0.000632611510809511, 0.00010176556679653004, 0.002078946679830551, 0.9971867203712463]"
2980,4,"[0.00024790404131636024, 6.078052683733404e-05, 0.0020704574417322874, 0.9976208806037903]"
2981,4,"[4.0738872485235333e-05, 9.36245487537235e-06, 0.00010135317279491574, 0.999848484992981]"
2982,1,"[0.9934187531471252, 0.006272174883633852, 0.0002175822592107579, 9.152237907983363e-05]"
2983,4,"[0.0004210874321870506, 0.00025796430418267846, 0.0013138412032276392, 0.9980071187019348]"
2984,3,"[0.0007586077554151416, 4.019624975626357e-05, 0.9948354959487915, 0.00436566723510623]"
2985,3,"[0.05260045453906059, 0.0006526366923935711, 0.7396877408027649, 0.20705920457839966]"
2986,4,"[0.008307578973472118, 0.0011269863462075591, 0.03487540781497955, 0.9556900858879089]"
2987,3,"[0.001260045450180769, 0.030866127461194992, 0.9668675661087036, 0.001006215694360435]"
2988,2,"[0.42330217361450195, 0.5760229229927063, 0.00046824163291603327, 0.00020667129138018936]"
2989,3,"[0.00019340572180226445, 7.050203566905111e-05, 0.9989761114120483, 0.000760067836381495]"
2990,3,"[0.00039127489435486495, 0.0008175212424248457, 0.9939616322517395, 0.004829568322747946]"
2991,3,"[0.00010106468835147098, 9.403919102624059e-05, 0.999207079410553, 0.0005979430861771107]"
2992,3,"[0.036709580570459366, 0.06573295593261719, 0.5770796537399292, 0.32047775387763977]"
2993,1,"[0.5108635425567627, 0.48799189925193787, 0.0008930323529057205, 0.000251523480983451]"
2994,4,"[0.0002917366218753159, 1.315179997618543e-05, 0.0027071861550211906, 0.9969878792762756]"
2995,4,"[0.0038925670087337494, 0.0013281571445986629, 0.04718616604804993, 0.9475930333137512]"
2996,4,"[0.0016553300665691495, 0.00042913499055430293, 0.028241900727152824, 0.9696736335754395]"
2997,3,"[0.00012243769015185535, 5.778039121651091e-05, 0.9997316002845764, 8.818435162538663e-05]"
2998,4,"[0.0006197139737196267, 4.5559703721664846e-05, 0.05486251413822174, 0.9444721341133118]"
