2931,4,"[0.019240641966462135, 0.01060227770358324, 0.08721303939819336, 0.8829441070556641]"
2932,3,"[0.0030051246285438538, 0.010327733121812344, 0.9806972742080688, 0.005969827529042959]"
2933,3,"[0.002342472318559885, 0.004204371012747288, 0.9866515398025513, 0.006801651790738106]"
2934,1,"[0.9671661257743835, 0.024610985070466995, 0.0020798714831471443, 0.006143004633486271]"
2935,3,"[0.03839053586125374, 0.02434404008090496, 0.509191632270813, 0.4280737638473511]"
2936,3,"[0.05522361770272255, 0.3223460912704468, 0.6020787358283997, 0.020351551473140717]"
2937,3,"[0.02932954579591751, 0.05043336749076843, 0.8883509039878845, 0.03188619390130043]"
2938,3,"[0.0005726326489821076, 0.00118502217810601, 0.9968364238739014, 0.0014058402739465237]"
2939,3,"[0.004180323798209429, 0.005763274151831865, 0.6424750685691833, 0.34758129715919495]"
2940,3,"[0.19772402942180634, 0.04761195927858353, 0.47521212697029114, 0.2794518768787384]"
2941,1,"[0.43536457419395447, 0.38928094506263733, 0.07702477276325226, 0.09832970798015594]"
2942,3,"[0.002400824334472418, 0.005317313130944967, 0.983535647392273, 0.008746203035116196]"
2943,3,"[0.0033251645509153605, 0.014360472559928894, 0.9770207405090332, 0.005293618887662888]"
2944,4,"[0.009592286311089993, 0.005582770798355341, 0.16357101500034332, 0.8212538361549377]"
2945,4,"[0.07402829825878143, 0.006961676757782698, 0.01092744991183281, 0.9080825448036194]"
2946,4,"[0.13441519439220428, 0.017303425818681717, 0.16514067351818085, 0.6831406354904175]"
2947,4,"[0.010408161208033562, 0.02546495944261551, 0.4502599537372589, 0.5138669013977051]"
2948,3,"[0.007192139979451895, 0.005806029308587313, 0.9778003692626953, 0.009201430715620518]"
2949,3,"[0.005326284095644951, 0.005727835465222597, 0.6970791816711426, 0.2918666899204254]"
2950,3,"[0.004433378577232361, 0.008619967848062515, 0.9721035361289978, 0.014843141660094261]"
2951,3,"[0.001773456926457584, 0.002219152171164751, 0.9671123623847961, 0.028894953429698944]"
2952,3,"[0.0031417175196111202, 0.004794724751263857, 0.9889743328094482, 0.003089314326643944]"
2953,4,"[0.015385514125227928, 0.006148866843432188, 0.1394234448671341, 0.8390421867370605]"
2954,3,"[0.3115575313568115, 0.32317054271698, 0.34545597434043884, 0.01981593295931816]"
2955,2,"[0.18804529309272766, 0.7771470546722412, 0.025882035493850708, 0.008925572969019413]"
2956,1,"[0.9781545996665955, 0.019151924178004265, 0.0010198986856266856, 0.0016734921373426914]"
2957,3,"[0.0065048434771597385, 0.009819762781262398, 0.8651031255722046, 0.11857236176729202]"
2958,3,"[0.021204184740781784, 0.00687648169696331, 0.7872512936592102, 0.18466798961162567]"
2959,4,"[0.004249542485922575, 0.002858101623132825, 0.048657651990652084, 0.9442347288131714]"
2960,3,"[0.000815104809589684, 0.0027644666843116283, 0.9886892437934875, 0.007731136400252581]"
2961,1,"[0.6701327562332153, 0.039392631500959396, 0.117043137550354, 0.17343144118785858]"
2962,3,"[0.016940541565418243, 0.08482018858194351, 0.8675603866577148, 0.030678940936923027]"
2963,1,"[0.9463895559310913, 0.02226093038916588, 0.011575049720704556, 0.019774390384554863]"
2964,3,"[0.01591435633599758, 0.017407096922397614, 0.8417599201202393, 0.12491872161626816]"
2965,3,"[0.0008872774778865278, 0.0021231018472462893, 0.977988600730896, 0.01900099776685238]"
2966,1,"[0.8815688490867615, 0.1139049157500267, 0.0023689717054367065, 0.002157284878194332]"
2967,4,"[0.003589629428461194, 0.002721762750297785, 0.035679593682289124, 0.9580089449882507]"
2968,3,"[0.01082450058311224, 0.007956858724355698, 0.7328574061393738, 0.2483612298965454]"
2969,1,"[0.43363848328590393, 0.24721701443195343, 0.3085661828517914, 0.010578358545899391]"
2970,1,"[0.9082335829734802, 0.07307060807943344, 0.00613820506259799, 0.012557556852698326]"
2971,3,"[0.007232399191707373, 0.020823746919631958, 0.9592005610466003, 0.01274336688220501]"
2972,3,"[0.011100377887487411, 0.026024898514151573, 0.9435757398605347, 0.019298970699310303]"
